"seqname","accession","tax_id","tax_name","isType","ok","i","outlier","selected","label","strain"
"S000001207","AJ243791","103621","Actinomyces urogenitalis",TRUE,TRUE,1,FALSE,TRUE,"Actinomyces urogenitalis (103621)","type"
"S000127864","AJ243893","103621","Actinomyces urogenitalis",FALSE,TRUE,2,FALSE,TRUE,"Actinomyces urogenitalis (103621)","non-type"
"S000130223","AJ243894","103621","Actinomyces urogenitalis",FALSE,TRUE,3,FALSE,TRUE,"Actinomyces urogenitalis (103621)","non-type"
"4VAG-103","","109790","Lactobacillus jensenii",FALSE,TRUE,5,FALSE,TRUE,"Lactobacillus jensenii (109790)","non-type"
"S000389885","AF243143","109790","Lactobacillus jensenii",FALSE,TRUE,7,FALSE,TRUE,"Lactobacillus jensenii (109790)","non-type"
"S000389895","AF243153","109790","Lactobacillus jensenii",FALSE,TRUE,8,FALSE,TRUE,"Lactobacillus jensenii (109790)","non-type"
"S000389897","AF243155","109790","Lactobacillus jensenii",FALSE,TRUE,9,FALSE,TRUE,"Lactobacillus jensenii (109790)","non-type"
"S000389901","AF243159","109790","Lactobacillus jensenii",FALSE,TRUE,10,FALSE,TRUE,"Lactobacillus jensenii (109790)","non-type"
"S000389903","AF243161","109790","Lactobacillus jensenii",FALSE,TRUE,11,FALSE,TRUE,"Lactobacillus jensenii (109790)","non-type"
"S000389904","AF243162","109790","Lactobacillus jensenii",FALSE,TRUE,12,FALSE,TRUE,"Lactobacillus jensenii (109790)","non-type"
"S000389918","AF243176","109790","Lactobacillus jensenii",TRUE,TRUE,13,FALSE,TRUE,"Lactobacillus jensenii (109790)","type"
"S001096707","EU559597","109790","Lactobacillus jensenii",FALSE,TRUE,14,FALSE,TRUE,"Lactobacillus jensenii (109790)","non-type"
"S001096711","EU559601","109790","Lactobacillus jensenii",FALSE,TRUE,15,FALSE,TRUE,"Lactobacillus jensenii (109790)","non-type"
"S000380997","S67831","1249","Weissella paramesenteroides",TRUE,TRUE,17,TRUE,TRUE,"Weissella paramesenteroides (1249)","type"
"S000382661","AB023238","1249","Weissella paramesenteroides",TRUE,TRUE,18,TRUE,TRUE,"Weissella paramesenteroides (1249)","type"
"S001155252","EU855224","1249","Weissella paramesenteroides",FALSE,TRUE,20,FALSE,TRUE,"Weissella paramesenteroides (1249)","non-type"
"S001795447","GU223366","1249","Weissella paramesenteroides",FALSE,TRUE,29,FALSE,TRUE,"Weissella paramesenteroides (1249)","non-type"
"S001795448","GU223367","1249","Weissella paramesenteroides",FALSE,TRUE,30,FALSE,TRUE,"Weissella paramesenteroides (1249)","non-type"
"S000014356","AJ305320","1254","Pediococcus acidilactici",TRUE,TRUE,32,TRUE,TRUE,"Pediococcus acidilactici (1254)","type"
"S000382416","AB018214","1254","Pediococcus acidilactici",FALSE,TRUE,35,FALSE,TRUE,"Pediococcus acidilactici (1254)","non-type"
"S001292769","FJ360445","1254","Pediococcus acidilactici",FALSE,TRUE,40,FALSE,TRUE,"Pediococcus acidilactici (1254)","non-type"
"S001352427","FJ844982","1254","Pediococcus acidilactici",FALSE,TRUE,42,FALSE,TRUE,"Pediococcus acidilactici (1254)","non-type"
"S002156252","GU369788","1254","Pediococcus acidilactici",FALSE,TRUE,48,FALSE,TRUE,"Pediococcus acidilactici (1254)","non-type"
"S000432294","AF542228","1258","Peptoniphilus asaccharolyticus",TRUE,TRUE,52,FALSE,TRUE,"Peptoniphilus asaccharolyticus (1258)","type"
"S000319464","AB109770","1260","Finegoldia magna",FALSE,TRUE,54,FALSE,TRUE,"Finegoldia magna (1260)","non-type"
"S000319466","AB109771","1260","Finegoldia magna",FALSE,TRUE,55,FALSE,TRUE,"Finegoldia magna (1260)","non-type"
"S000334747","AB109772","1260","Finegoldia magna",FALSE,TRUE,56,FALSE,TRUE,"Finegoldia magna (1260)","non-type"
"S000399515","AY169413","1260","Finegoldia magna",FALSE,TRUE,57,FALSE,TRUE,"Finegoldia magna (1260)","non-type"
"S000432293","AF542227","1260","Finegoldia magna",TRUE,TRUE,58,FALSE,TRUE,"Finegoldia magna (1260)","type"
"S000140702","AY326462","1261","Peptostreptococcus anaerobius",TRUE,TRUE,59,FALSE,TRUE,"Peptostreptococcus anaerobius (1261)","type"
"S000414263","L04168","1261","Peptostreptococcus anaerobius",FALSE,TRUE,60,FALSE,TRUE,"Peptostreptococcus anaerobius (1261)","non-type"
"S000010068","X70648","1280","Staphylococcus aureus",FALSE,TRUE,63,FALSE,TRUE,"Staphylococcus aureus (1280)","non-type"
"S000529044","L36472","1280","Staphylococcus aureus",TRUE,TRUE,67,FALSE,TRUE,"Staphylococcus aureus (1280)","type"
"S000750660","DQ997832","1280","Staphylococcus aureus",FALSE,TRUE,73,FALSE,TRUE,"Staphylococcus aureus (1280)","non-type"
"S001095993","EU515208","1280","Staphylococcus aureus",FALSE,TRUE,80,FALSE,TRUE,"Staphylococcus aureus (1280)","non-type"
"S001241993","FJ434467","1280","Staphylococcus aureus",FALSE,TRUE,86,FALSE,TRUE,"Staphylococcus aureus (1280)","non-type"
"2VAG-69","","1282","Staphylococcus epidermidis",FALSE,TRUE,97,FALSE,TRUE,"Staphylococcus epidermidis (1282)","non-type"
"S000942605","EU128487","1282","Staphylococcus epidermidis",FALSE,TRUE,136,FALSE,TRUE,"Staphylococcus epidermidis (1282)","non-type"
"S000995921","EU379268","1282","Staphylococcus epidermidis",FALSE,TRUE,139,FALSE,TRUE,"Staphylococcus epidermidis (1282)","non-type"
"S001098782","EU652069","1282","Staphylococcus epidermidis",FALSE,TRUE,147,FALSE,TRUE,"Staphylococcus epidermidis (1282)","non-type"
"S001154131","EU834242","1282","Staphylococcus epidermidis",FALSE,TRUE,151,FALSE,TRUE,"Staphylococcus epidermidis (1282)","non-type"
"S000010870","X66100","1283","Staphylococcus haemolyticus",TRUE,TRUE,195,FALSE,TRUE,"Staphylococcus haemolyticus (1283)","type"
"S000995957","EU379304","1283","Staphylococcus haemolyticus",FALSE,TRUE,202,FALSE,TRUE,"Staphylococcus haemolyticus (1283)","non-type"
"S001096634","EU554432","1283","Staphylococcus haemolyticus",FALSE,TRUE,203,FALSE,TRUE,"Staphylococcus haemolyticus (1283)","non-type"
"S001418808","FN393803","1283","Staphylococcus haemolyticus",FALSE,TRUE,212,FALSE,TRUE,"Staphylococcus haemolyticus (1283)","non-type"
"S001575023","FJ999931","1283","Staphylococcus haemolyticus",FALSE,TRUE,214,FALSE,TRUE,"Staphylococcus haemolyticus (1283)","non-type"
"S000016099","X66101","1290","Staphylococcus hominis",TRUE,TRUE,217,FALSE,TRUE,"Staphylococcus hominis (1290)","type"
"S000438936","AY167805","1290","Staphylococcus hominis",FALSE,TRUE,220,FALSE,TRUE,"Staphylococcus hominis (1290)","non-type"
"S000842583","DQ870747","1290","Staphylococcus hominis",FALSE,TRUE,223,FALSE,TRUE,"Staphylococcus hominis (1290)","non-type"
"S000926543","EU071618","1290","Staphylococcus hominis",FALSE,TRUE,225,FALSE,TRUE,"Staphylococcus hominis (1290)","non-type"
"S000995949","EU379296","1290","Staphylococcus hominis",FALSE,TRUE,231,FALSE,TRUE,"Staphylococcus hominis (1290)","non-type"
"S000414717","L37603","1292","Staphylococcus warneri",TRUE,TRUE,243,FALSE,TRUE,"Staphylococcus warneri (1292)","type"
"S001793392","EU863185","1292","Staphylococcus warneri",FALSE,TRUE,245,FALSE,TRUE,"Staphylococcus warneri (1292)","non-type"
"S001793429","EU867329","1292","Staphylococcus warneri",FALSE,TRUE,246,FALSE,TRUE,"Staphylococcus warneri (1292)","non-type"
"S001794135","GQ181035","1292","Staphylococcus warneri",FALSE,TRUE,248,FALSE,TRUE,"Staphylococcus warneri (1292)","non-type"
"S002156579","GU397393","1292","Staphylococcus warneri",FALSE,TRUE,252,FALSE,TRUE,"Staphylococcus warneri (1292)","non-type"
"S000386904","AF003932","1303","Streptococcus oralis",FALSE,TRUE,253,FALSE,TRUE,"Streptococcus oralis (1303)","non-type"
"S000405655","AY281080","1303","Streptococcus oralis",FALSE,TRUE,255,FALSE,TRUE,"Streptococcus oralis (1303)","non-type"
"S000420023","AY485602","1303","Streptococcus oralis",TRUE,TRUE,256,FALSE,TRUE,"Streptococcus oralis (1303)","type"
"S000901720","AB355617","1303","Streptococcus oralis",FALSE,TRUE,261,FALSE,TRUE,"Streptococcus oralis (1303)","non-type"
